link_id,home,work,other,total
52,52,16,12,80
1699,50,19,10,79
102,50,19,10,79
311,52,17,10,79
2746,56,19,4,79
2335,56,19,4,79
567,56,15,7,78
1395,54,12,12,78
1094,44,22,12,78
2001,48,20,10,78
90,62,12,4,78
741,54,13,10,77
1325,54,14,9,77
1437,50,19,8,77
781,46,23,8,77
30,54,14,9,77
1295,46,15,16,77
1746,54,16,7,77
2688,54,13,9,76
1407,50,17,9,76
861,50,21,5,76
2832,50,15,11,76
1481,46,19,10,75
2580,50,16,9,75
2303,60,9,6,75
1863,44,20,11,75
753,46,17,12,75
156,48,14,13,75
1269,52,14,8,74
1877,44,21,9,74
2582,40,23,11,74
357,50,14,10,74
895,46,17,11,74
2058,46,14,14,74
236,48,16,10,74
1985,54,12,8,74
2672,44,25,4,73
1150,52,12,9,73
124,50,14,9,73
2870,54,11,8,73
260,50,16,7,73
1192,46,18,9,73
873,54,11,8,73
1899,50,11,12,73
1859,50,9,14,73
1164,48,15,10,73
2538,44,14,14,72
725,56,10,6,72
3102,54,10,8,72
2149,42,19,11,72
1665,52,12,8,72
202,42,20,10,72
1078,52,15,5,72
28,50,15,7,72
2081,46,18,7,71
1228,48,14,9,71
517,46,18,7,71
2377,50,12,9,71
1174,44,17,10,71
533,46,16,9,71
831,48,12,11,71
1889,42,21,7,70
1034,40,21,9,70
1088,56,11,3,70
917,50,11,9,70
122,36,19,15,70
1895,40,20,9,69
98,50,11,8,69
1347,38,20,11,69
2516,48,15,6,69
363,52,10,7,69
1653,50,14,4,68
1641,40,16,12,68
2640,42,13,13,68
2612,44,14,10,68
1045,48,12,8,68
2714,44,14,10,68
1188,42,21,5,68
841,38,19,11,68
1200,48,12,8,68
1853,48,13,7,68
1523,44,18,5,67
2502,40,16,11,67
2680,44,15,8,67
2345,48,15,4,67
851,46,14,7,67
2155,50,12,5,67
1389,46,13,7,66
695,42,17,7,66
1614,42,14,10,66
343,36,21,9,66
2562,42,13,11,66
975,46,14,6,66
611,38,18,10,66
204,46,12,7,65
829,42,18,5,65
1283,42,14,9,65
595,36,18,11,65
132,46,15,4,65
1194,38,19,8,65
755,42,9,13,64
951,46,11,7,64
2042,48,10,6,64
715,44,11,9,64
2690,40,16,8,64
559,44,15,5,64
1903,44,17,3,64
1750,36,18,10,64
633,40,15,9,64
325,42,15,7,64
2962,44,12,8,64
1855,40,13,10,63
991,44,12,7,63
2072,42,16,5,63
3014,46,8,9,63
923,40,16,7,63
909,36,20,7,63
1797,50,12,1,63
1092,38,12,13,63
743,48,8,6,62
2950,42,13,7,62
264,46,11,5,62
529,36,15,11,62
1487,46,9,7,62
455,38,15,8,61
3020,34,19,8,61
787,38,15,8,61
539,50,7,4,61
1198,44,11,6,61
2046,44,12,5,61
2188,42,10,8,60
1411,44,14,2,60
1297,38,15,7,60
419,34,14,12,60
1293,46,11,3,60
3106,34,17,9,60
1925,38,21,1,60
537,36,17,7,60
2996,40,10,10,60
793,36,18,6,60
2568,26,20,13,59
2458,44,11,4,59
2135,46,8,5,59
905,42,13,4,59
1110,40,11,8,59
2750,34,21,4,59
783,36,14,9,59
389,42,12,5,59
569,36,16,7,59
1867,42,12,4,58
2141,40,12,6,58
2676,42,8,8,58
1065,42,10,6,58
507,36,11,11,58
1351,38,18,2,58
785,44,6,7,57
2466,32,13,12,57
791,38,15,4,57
170,34,13,10,57
2476,44,4,9,57
1829,42,13,2,57
819,38,11,8,57
1262,40,9,8,57
1435,40,10,7,57
293,38,12,7,57
2038,40,7,9,56
513,38,13,5,56
196,36,16,4,56
2972,38,7,11,56
1505,42,8,6,56
2026,38,11,7,56
1246,34,14,8,56
2900,36,19,1,56
757,34,16,6,56
148,38,11,7,56
1991,32,16,8,56
1397,34,14,7,55
206,30,19,6,55
1076,34,10,11,55
1202,36,14,5,55
445,34,15,6,55
2966,42,7,6,55
1421,36,14,5,55
1582,38,11,5,54
1132,34,11,9,54
2492,32,14,8,54
665,34,14,6,54
1987,32,13,9,54
451,34,13,7,54
437,38,14,2,54
475,34,12,8,54
1703,38,11,5,54
3002,40,11,3,54
2664,28,16,9,53
2398,34,12,7,53
1030,42,7,4,53
1851,36,10,7,53
731,36,15,2,53
879,36,7,10,53
603,32,14,7,53
2275,28,19,5,52
104,36,11,5,52
2736,34,10,8,52
2600,28,15,9,52
1047,34,12,6,52
1909,40,7,5,52
2235,38,10,4,52
1419,40,8,4,52
1059,36,9,6,51
58,36,11,4,51
1281,36,9,6,51
761,34,9,8,51
1465,40,11,0,51
1238,36,11,4,51
2686,36,7,8,51
1028,30,13,8,51
1196,28,19,4,51
767,30,15,6,51
417,34,10,7,51
1775,40,6,5,51
289,30,9,12,51
126,32,12,6,50
1795,36,8,6,50
2644,32,13,5,50
899,30,15,5,50
1319,28,11,11,50
3,34,12,4,50
2171,32,9,9,50
2424,28,17,5,50
795,34,11,5,50
2662,32,11,7,50
2556,36,12,2,50
280,40,9,1,50
1267,24,18,7,49
2520,40,5,4,49
162,38,8,3,49
1807,32,11,6,49
1182,30,9,10,49
1475,28,13,8,49
1216,34,6,9,49
1072,36,9,4,49
2942,38,5,6,49
347,30,16,3,49
3104,34,9,6,49
1086,34,8,6,48
2716,36,8,4,48
2940,36,9,3,48
1070,36,8,4,48
1841,38,7,3,48
1405,30,15,3,48
379,24,18,6,48
2137,30,13,5,48
1112,30,9,9,48
100,32,9,7,48
1011,32,9,6,47
449,36,9,2,47
1785,30,12,5,47
3078,38,7,2,47
1979,32,11,4,47
2948,26,15,6,47
609,32,10,5,47
2241,30,8,9,47
1311,20,16,11,47
2074,26,14,7,47
266,36,8,2,46
1781,30,12,4,46
2177,32,13,1,46
2301,32,7,7,46
797,30,12,4,46
3064,36,7,3,46
1003,36,5,5,46
2614,34,8,4,46
2400,28,13,5,46
2231,36,9,1,46
1995,30,11,4,45
1248,28,7,10,45
1601,28,11,6,45
1661,28,12,5,45
2960,28,11,6,45
118,34,5,6,45
3026,32,10,3,45
943,36,5,4,45
491,28,13,4,45
1557,34,8,2,44
1317,30,9,5,44
2978,30,7,7,44
1728,32,9,3,44
212,30,12,2,44
1166,28,10,6,44
2674,30,12,2,44
1566,26,12,6,44
801,30,8,6,44
2069,26,12,6,44
501,26,11,6,43
1845,28,5,10,43
2782,22,14,7,43
2175,32,8,3,43
481,28,9,5,42
2107,30,10,2,42
901,26,12,4,42
1037,22,15,5,42
295,24,11,7,42
3056,26,10,6,42
701,28,10,4,42
2738,30,8,4,42
176,26,14,2,42
174,20,15,7,42
601,24,10,8,42
2992,28,11,3,42
2115,30,8,4,42
487,22,12,7,41
473,24,9,8,41
383,32,5,4,41
977,30,4,7,41
617,26,6,9,41
2774,24,13,4,41
3100,18,12,11,41
246,30,7,4,41
1100,24,14,3,41
1136,24,12,5,41
2347,30,8,3,41
2592,32,5,4,41
309,28,10,3,41
2003,30,10,1,41
2920,28,6,7,41
1574,28,7,6,41
1570,30,5,5,40
2990,32,7,1,40
1108,30,4,6,40
1359,28,8,4,40
1777,24,9,7,40
1917,28,5,7,40
2095,30,7,3,40
1913,24,10,6,40
577,30,4,6,40
573,22,13,5,40
2097,26,9,5,40
2792,24,9,7,40
705,26,12,2,40
353,30,4,6,40
1005,26,8,6,40
2904,28,7,4,39
2016,22,11,6,39
1222,24,11,4,39
186,24,12,3,39
811,20,13,6,39
1021,28,6,5,39
1375,26,8,5,39
1651,26,9,4,39
323,30,5,4,39
1140,24,9,6,39
1811,26,8,4,38
94,24,10,4,38
1279,26,7,5,38
1126,24,9,5,38
1445,22,13,3,38
2604,28,6,4,38
2249,26,8,4,38
2315,30,5,3,38
1605,22,12,4,38
727,28,5,5,38
881,24,11,3,38
2702,26,6,5,37
339,20,14,3,37
1128,20,14,3,37
2163,28,4,5,37
939,24,8,5,37
1156,20,13,4,37
2980,24,10,3,37
2117,28,6,3,37
1429,30,5,2,37
1275,32,3,2,37
803,28,7,2,37
1915,26,9,2,37
807,24,8,4,36
729,26,9,1,36
839,22,10,4,36
2073,20,11,5,36
907,24,10,2,36
933,22,9,5,36
2692,26,7,3,36
1190,20,13,3,36
607,22,7,7,36
1791,24,7,5,36
1794,26,6,4,36
749,26,6,4,36
1783,26,7,3,36
2157,24,8,4,36
1711,30,4,2,36
2694,26,7,3,36
106,22,6,8,36
623,24,6,6,36
2968,20,8,7,35
160,22,10,3,35
2518,22,11,2,35
935,24,9,2,35
1013,24,10,1,35
2105,16,11,8,35
2742,26,5,4,35
837,18,10,7,35
268,28,7,0,35
479,22,8,5,35
2772,20,9,6,35
2089,24,7,4,35
1377,22,9,4,35
1667,26,7,2,35
1331,20,9,5,34
593,20,7,7,34
2886,20,13,1,34
168,20,10,4,34
375,24,7,3,34
2307,24,7,3,34
2488,16,13,5,34
643,22,9,3,34
13,26,6,2,34
3004,26,6,1,33
765,18,12,3,33
1365,22,9,2,33
485,24,5,4,33
1590,24,5,4,33
957,26,5,2,33
1973,22,7,4,33
1485,22,5,6,33
689,26,2,5,33
1911,22,8,3,33
1748,18,9,6,33
2357,24,6,2,32
2062,16,11,5,32
10,24,8,0,32
1186,20,8,4,32
3066,24,3,5,32
2329,24,8,0,32
2091,20,8,4,32
1594,28,2,2,32
2070,22,8,2,32
1035,18,9,5,32
2404,18,11,3,32
2914,22,6,4,32
2281,24,6,2,32
1897,22,5,4,31
769,18,6,7,31
2788,20,7,4,31
2060,20,7,4,31
287,20,8,3,31
587,24,4,3,31
2730,26,3,2,31
637,20,7,4,31
947,24,6,1,31
391,22,4,5,31
291,20,8,3,31
238,20,6,5,31
3016,26,4,1,31
56,16,9,6,31
1423,20,4,7,31
2822,22,3,6,31
2359,22,6,3,31
2145,22,5,3,30
489,22,5,3,30
1578,20,7,3,30
150,18,4,8,30
1043,20,6,4,30
945,20,7,3,30
198,20,6,4,30
1144,26,0,4,30
285,22,6,2,30
1439,22,6,2,30
2704,20,6,4,30
2179,20,6,4,30
1373,20,7,3,30
2478,22,7,1,30
2884,24,5,1,30
865,24,2,4,30
1945,22,5,3,30
2414,22,7,1,30
527,20,5,5,30
1329,20,8,2,30
1479,24,3,2,29
3042,16,10,3,29
3122,20,4,5,29
2077,8,15,6,29
1756,22,6,1,29
641,22,5,2,29
1947,22,3,4,29
2710,16,8,5,29
691,22,5,2,29
889,18,7,4,29
519,20,5,4,29
969,22,6,1,29
1457,20,8,1,29
2976,22,6,1,29
1983,18,9,2,29
1442,20,5,4,29
283,18,7,3,28
2906,22,2,4,28
1383,18,8,2,28
1381,22,2,4,28
2936,16,11,1,28
2648,22,4,2,28
1459,14,8,6,28
1773,20,8,0,28
805,18,8,2,28
3118,20,6,2,28
2197,14,9,5,28
2566,18,7,3,28
337,16,9,3,28
2365,16,11,1,28
921,18,4,6,28
1981,20,5,2,27
1146,16,4,7,27
471,20,2,5,27
1765,18,7,2,27
3006,16,5,6,27
2708,18,6,3,27
1572,12,12,3,27
2982,18,3,6,27
585,20,5,2,27
2227,16,9,2,27
1744,16,10,1,27
2195,20,3,4,27
1385,22,5,0,27
26,18,6,3,27
1939,18,4,5,27
565,16,7,4,27
1057,14,7,6,27
503,20,6,1,27
763,18,7,2,27
959,16,4,7,27
1289,18,7,1,26
733,22,3,1,26
2816,18,6,2,26
1017,16,9,1,26
248,18,4,4,26
1391,18,7,1,26
2776,14,6,6,26
2123,18,5,3,26
1499,16,3,7,26
2546,14,9,3,26
2514,18,7,1,26
1417,18,8,0,26
929,16,4,6,26
1007,24,1,1,26
2199,14,10,2,26
2351,20,1,5,26
965,22,3,1,26
1831,18,6,1,25
2121,16,6,3,25
158,12,7,6,25
521,12,8,5,25
2119,20,3,2,25
2361,14,8,3,25
1287,14,5,6,25
1740,18,2,5,25
413,14,7,4,25
1409,20,5,0,25
2101,18,6,1,25
2273,18,5,2,25
1162,20,3,2,25
2732,18,6,1,25
2309,18,6,1,25
1869,18,4,3,25
2103,16,4,5,25
1943,16,6,2,24
1941,14,7,3,24
2221,16,5,3,24
3058,18,2,4,24
667,16,6,2,24
1154,14,5,5,24
1951,16,6,2,24
2970,16,7,1,24
477,16,6,2,24
2452,16,4,4,24
2608,16,6,2,24
441,16,4,4,24
927,16,2,6,24
2394,16,6,2,24
250,18,5,1,24
855,16,3,4,23
1393,14,6,3,23
1769,20,3,0,23
453,10,11,2,23
3024,10,9,4,23
1823,18,4,1,23
1114,16,4,3,23
2056,18,4,1,23
2684,12,4,7,23
2728,18,4,1,23
949,14,8,1,23
252,18,3,2,23
2131,14,6,3,23
1949,12,10,1,23
2780,16,3,4,23
2193,12,8,3,23
2958,14,6,3,23
2245,14,7,2,23
2616,18,4,1,23
16,12,7,3,22
2317,18,2,2,22
3030,14,5,3,22
2666,14,7,1,22
897,18,3,1,22
1625,14,7,1,22
22,18,1,3,22
281,18,2,2,22
154,14,5,3,22
2291,14,6,2,22
1497,18,2,2,22
2542,14,6,2,22
367,12,7,3,22
1937,16,6,0,22
2894,14,3,4,21
60,10,7,4,21
1307,12,5,4,21
2678,12,8,1,21
242,14,6,1,21
1767,14,5,2,21
2598,16,4,1,21
1568,10,6,5,21
673,14,5,2,21
599,14,4,3,21
649,12,3,6,21
254,12,5,4,21
461,12,6,3,21
1809,6,12,3,21
2450,14,6,1,21
2225,16,3,2,21
2494,14,5,2,21
1369,16,2,3,21
1659,16,3,2,21
1671,14,4,3,21
1483,14,3,4,21
937,8,10,3,21
1677,14,5,2,21
3116,8,7,6,21
2956,14,5,2,21
467,12,6,3,21
1752,16,1,3,20
2558,10,7,3,20
1805,10,8,2,20
1000,14,3,3,20
2283,16,3,1,20
931,8,11,1,20
635,16,2,2,20
1787,16,0,4,20
2083,10,7,3,20
1172,16,4,0,20
415,12,5,2,19
2610,16,2,1,19
2850,12,6,1,19
621,14,2,3,19
1722,10,6,3,19
2075,12,5,2,19
1363,16,3,0,19
1689,10,5,4,19
393,12,3,4,19
1681,12,7,0,19
1142,14,3,2,19
525,12,6,1,19
619,14,3,2,19
2658,14,4,1,19
3040,16,1,2,19
615,4,6,8,18
1023,10,5,3,18
661,10,4,4,18
274,12,3,3,18
409,12,4,2,18
2626,12,6,0,18
511,14,4,0,18
1120,10,7,1,18
1959,8,7,3,18
2718,10,7,1,18
2125,14,4,0,18
278,16,1,1,18
1595,14,3,1,18
403,16,2,0,18
555,8,10,0,18
1082,14,3,1,18
2349,12,2,4,18
2588,12,4,1,17
2261,10,4,3,17
3008,10,2,5,17
1687,12,4,1,17
1989,6,11,0,17
431,14,3,0,17
1796,12,3,2,17
2040,10,5,2,17
465,12,4,1,17
2720,8,8,1,17
2988,12,5,0,17
2594,8,6,3,17
1639,14,1,2,17
1762,12,4,1,17
421,12,1,3,16
1447,8,7,1,16
813,4,6,6,16
2430,10,3,3,16
1009,10,4,2,16
297,12,2,2,16
843,10,6,0,16
1673,12,0,4,16
2247,10,3,3,16
1622,12,2,2,16
301,14,2,0,16
651,10,4,2,16
2311,10,4,2,16
2986,12,1,3,16
2169,10,5,1,16
1551,6,7,3,16
2508,6,4,6,16
1971,14,2,0,16
523,10,3,3,16
1861,10,2,4,16
2392,8,6,2,16
2828,10,3,3,16
385,10,4,1,15
2552,14,0,1,15
845,6,8,1,15
2255,6,6,3,15
751,10,2,3,15
2207,4,8,3,15
2341,8,5,2,15
771,10,4,1,15
847,12,1,2,15
1015,12,3,0,15
136,10,3,2,15
188,12,3,0,15
1240,10,4,1,15
1683,6,6,3,15
1679,8,6,1,15
7,12,2,1,15
351,8,5,2,15
2548,8,3,4,15
1224,8,5,1,14
545,8,4,2,14
2652,12,1,1,14
2343,8,4,2,14
1977,8,4,2,14
1080,10,3,1,14
2434,12,2,0,14
1697,8,3,3,14
553,10,3,1,14
2287,10,3,1,14
395,10,3,1,14
2391,10,1,3,14
1967,10,3,1,14
2486,10,3,1,14
397,12,1,1,14
427,8,3,3,14
3068,8,5,1,14
11,10,3,1,14
407,8,3,2,13
1451,8,4,1,13
1019,12,1,0,13
2205,8,4,1,13
1116,8,5,0,13
625,8,3,2,13
399,8,3,2,13
693,6,6,1,13
2706,10,3,0,13
2165,10,1,2,13
3120,10,2,1,13
2722,10,1,2,13
2215,10,2,1,13
371,8,3,2,13
853,8,1,4,13
971,8,5,0,13
1025,4,6,3,13
2454,10,1,2,13
411,10,2,1,13
1553,10,2,1,13
1763,8,5,0,13
2952,8,5,0,13
3084,10,0,2,12
2864,6,5,1,12
2654,10,2,0,12
2862,8,2,2,12
2093,4,7,1,12
2173,8,2,2,12
92,10,2,0,12
1975,10,2,0,12
815,8,3,1,12
1049,10,2,0,12
3076,6,4,2,12
1051,10,2,0,12
2321,8,3,1,12
2842,6,5,1,12
721,6,6,0,12
2928,8,4,0,12
891,8,2,2,12
1707,6,5,1,12
1501,8,3,1,12
1001,8,1,3,12
2189,8,3,1,12
589,8,2,2,12
1843,8,3,1,12
2734,6,1,5,12
2134,4,3,5,12
2161,10,2,0,12
1817,8,2,2,12
24,8,3,1,12
32,10,0,1,11
823,8,3,0,11
2263,6,2,3,11
2203,6,4,1,11
1206,8,1,2,11
2726,6,1,4,11
2071,6,4,1,11
571,4,1,6,11
1176,6,5,0,11
543,6,4,1,11
2544,8,1,2,11
1212,4,5,2,11
2550,6,5,0,11
1927,6,4,1,11
2167,8,2,1,11
1541,8,2,1,11
961,10,1,0,11
2484,6,4,1,11
1148,6,3,1,10
1691,6,1,3,10
1738,8,0,2,10
2147,6,3,1,10
2464,6,4,0,10
270,6,4,0,10
2888,6,2,2,10
1124,2,5,3,10
613,6,3,1,10
535,6,4,0,10
359,4,4,2,10
1471,8,2,0,10
3086,8,1,1,10
2229,6,2,2,10
2127,6,4,0,10
1627,6,2,2,10
2159,8,1,1,10
2456,8,2,0,10
1033,6,3,1,10
405,6,2,2,10
2910,6,1,3,10
925,8,2,0,10
1491,8,2,0,10
627,8,1,1,10
703,8,1,1,10
134,8,1,0,9
1839,8,1,0,9
2209,4,4,1,9
2233,8,1,0,9
86,6,2,1,9
591,6,1,2,9
2444,8,0,1,9
1461,2,5,2,9
1413,6,3,0,9
2440,6,2,1,9
2446,6,3,0,9
2878,4,3,2,9
2151,8,1,0,9
919,4,5,0,9
349,6,1,2,9
2898,6,2,1,9
1,8,0,1,9
2211,4,3,2,9
46,6,2,1,9
2896,6,2,1,9
995,4,3,2,9
2243,8,1,0,9
2860,6,2,1,9
2076,6,1,1,8
1963,4,2,2,8
3038,4,2,2,8
3046,6,2,0,8
1495,4,2,2,8
2944,8,0,0,8
2048,2,4,2,8
2880,6,0,2,8
88,6,2,0,8
305,6,2,0,8
955,6,1,1,8
1493,4,2,2,8
1517,4,3,1,8
2656,4,3,1,8
1647,6,1,1,8
272,6,2,0,8
1685,6,2,0,8
1527,4,3,1,8
3072,6,1,1,8
2510,6,1,1,8
2389,4,2,2,8
1230,4,2,2,8
303,6,1,1,8
3050,6,2,0,8
1529,6,1,1,8
1821,6,1,0,7
1919,4,2,1,7
2902,6,1,0,7
1736,4,2,1,7
2480,6,1,0,7
2622,4,2,1,7
3032,2,2,3,7
1539,2,3,2,7
2213,6,1,0,7
2237,6,1,0,7
1244,6,1,0,7
2438,4,3,0,7
3098,4,1,2,7
429,4,2,1,7
1997,4,3,0,7
1277,6,1,0,7
669,4,3,0,7
2812,6,0,1,7
2628,4,3,0,7
735,4,2,1,7
3080,6,0,1,7
2938,6,1,0,7
1993,6,0,1,7
1675,4,1,2,7
2522,4,1,2,7
963,6,0,1,7
1705,6,0,1,7
2289,2,5,0,7
2099,6,0,1,7
3096,6,0,0,6
3074,4,0,2,6
663,6,0,0,6
2926,4,1,1,6
2760,0,3,3,6
84,4,1,1,6
369,4,2,0,6
228,4,1,1,6
497,2,2,2,6
321,4,1,1,6
629,4,1,1,6
62,4,2,0,6
2974,4,2,0,6
313,6,0,0,6
2402,4,1,1,6
2191,4,2,0,6
1596,2,3,1,6
2526,2,3,1,6
2406,4,0,2,6
1559,2,3,1,6
1789,4,2,0,6
683,6,0,0,6
2420,4,2,0,6
1158,6,0,0,6
1455,0,3,3,6
711,2,3,1,6
2259,6,0,0,6
3000,4,1,1,6
276,6,0,0,6
66,4,1,0,5
1693,2,2,1,5
1793,2,2,1,5
144,2,3,0,5
112,4,1,0,5
214,2,1,2,5
1357,4,1,0,5
459,4,0,1,5
1655,2,3,0,5
685,2,3,0,5
575,4,0,1,5
307,2,2,1,5
687,2,3,0,5
1712,2,1,2,5
2267,4,1,0,5
1649,4,1,0,5
1935,4,1,0,5
2954,4,0,1,5
5,4,1,0,5
1321,4,0,1,5
2846,2,3,0,5
172,4,0,1,5
152,4,1,0,5
1168,2,1,2,5
561,4,1,0,5
2802,4,0,1,5
423,4,0,1,5
2223,4,0,1,5
96,2,1,1,4
3034,2,1,1,4
68,2,1,1,4
1084,2,1,1,4
2504,4,0,0,4
1957,2,2,0,4
317,0,4,0,4
1535,4,0,0,4
2768,4,0,0,4
2442,4,0,0,4
1695,2,2,0,4
1525,2,2,0,4
2418,4,0,0,4
1953,0,1,3,4
2930,2,2,0,4
1102,2,0,2,4
3088,2,2,0,4
2239,2,2,0,4
1537,2,1,1,4
2724,4,0,0,4
2410,2,1,1,4
54,2,2,0,4
671,0,2,2,4
1489,2,1,1,4
447,4,0,0,4
232,4,0,0,4
182,4,0,0,4
2333,4,0,0,4
1473,4,0,0,4
1955,2,2,0,4
64,4,0,0,4
2257,2,1,0,3
1106,0,2,1,3
2251,2,0,1,3
